Name,Organization,Status
Jonathan Prescott,US Army,Member
David Wallace,US Army,Member
James Grier,US Army,Member
Walker K. Armistead,US Army,Member
Wm. Lindsay,US Army,Member
James Bankhead,US Army,Member
William Wilson,US Army,Member
Roger Jones,US Army,Member
S. B. Archer,US Army,Member
Thomas Stockton,US Army,Member
Henry K. Craig,US Army,Member
Wm. Laval,US Army,Member
Mann P. Lomax,US Army,Member
George N. Morris,US Army,Member
Rufus L. Baker,US Army,Member
Felix Ansart,US Army,Member
Samuel Spotts,US Army,Member
Aeneas Mackay,US Army,Member
J. W. Thompson,US Army,Member
John A. Dix,US Army,Member
Lewis G. De Russey,US Army,Member
Thomas Childs,US Army,Member
George S. Wilkins,US Army,Member
Charles M. Thruston,US Army,Member
Thomas J. Baird,US Army,Member
Upton S. Frazer,US Army,Member
Thomas W. Lendrum,US Army,Member
Isaac A. Adams,US Army,Member
James D. Graham,US Army,Member
John C. Kirk,US Army,Member
Richard B. Lee,US Army,Member
John Hills,US Army,Member
Samuel S. Smith,US Army,Member
Samuel Ringgold,US Army,Member
George W. Corprew,US Army,Member
W. S. Newton,US Army,Member
W. B. Davidson,US Army,Member
Clifton Wharton,US Army,Member
Z. J. D. Kinsley,US Army,Member
J. F. Hamtramck,US Army,Member
John Le Engle,US Army,Member
Austin Brockenbrough,US Army,Member
L. A. Rigail,US Army,Member
John Smith,US Army,Member
Hezekiah Garner,US Army,Member
Francis N. Barbarin,US Army,Member
John H. Winder,US Army,Member
Rawlins Lowndes,US Army,Member
J. M. Tufis,US Army,Member
William H. Kerr,US Army,Member
Charles Thomas,US Army,Member
W. W. Wells,US Army,Member
John C. Holland,US Army,Member
Robert W. Allston,US Army,Member
John R. Fenwick,US Army,Member
William Macrea,US Army,Member
Abram Eustis,US Army,Member
E. Humphreys,US Army,Member
John A. Burd,US Army,Member
R. K. Peirce,US Army,Member
M. M. Payne,US Army,Member
John R. Bell,US Army,Member
Joseph D. Hayden,US Army,Member
William Wade,US Army,Member
W. F. Hobart,US Army,Member
John Erving,US Army,Member
Abraham L. Sands,US Army,Member
Levi Whiting,US Army,Member
M. S. Massey,US Army,Member
W. L. McClintock,US Army,Member
John L. Gardner,US Army,Member
John Monroe,US Army,Member
Jac. Schmuck,US Army,Member
James Ripley,US Army,Member
Hugh K. Meade,US Army,Member
W. L. Booth,US Army,Member
Patrick H. Galt,US Army,Member
James Monroe,US Army,Member
J. W. Phillips,US Army,Member
Charles Despinville,US Army,Member
J. R. Vinton,US Army,Member
Thomas J. Gardner,US Army,Member
John M. Washington,US Army,Member
W. Wright,US Army,Member
H. Brown,US Army,Member
Jospeh N. Chambers,US Army,Member
Jospeh Strong,US Army,Member
Charles Ward,US Army,Member
Joseph Hopkins,US Army,Member
Henry A. Thompson,US Army,Member
Wm. Turnbull,US Army,Member
Ethan C. Sickles,US Army,Member
Joseph D. Rupp,US Army,Member
James R. Blaney,US Army,Member
John R. Bowers,US Army,Member
George C. Hutter,US Army,Member
William H. Bell,US Army,Member
Edward G. W. Butler,US Army,Member
Samuel B. Dusenbury,US Army,Member
William S. Maitland,US Army,Member
John T. Davidson,US Army,Member
Clarke Burdine,US Army,Member
Edward C. Ross,US Army,Member
John B. Scott,US Army,Member
William W. Paine,US Army,Member
J. Snowden,US Army,Member
Jacint Laval,US Army,Member
A. Giles,US Army,Member
Thomas Harrison,US Army,Member
H. McCall,US Army,Member
D. Hopkins,US Army,Member
J. Whistler,US Army,Member
Hezekiah Johnson,US Army,Member
Talbot Chambers,US Army,Member
Robert Butler,US Army,Member
R. Whartenby,US Army,Member
Stephen W. Kearney,US Army,Member
John Jones,US Army,Member
Robert D. Richardson,US Army,Member
James H. Gale,US Army,Member
Richard K. Call,US Army,Member
W. V. Cobbs,US Army,Member
G. Loomis,US Army,Member
T. F. Smith,US Army,Member
S. H. Webb,US Army,Member
W. H. Kerr,US Army,Member
Garston Powell,US Army,Member
George C. Spencer,US Army,Member
E. A. Hitchcock,US Army,Member
W. S. Harney,US Army,Member
W. R. Jewett,US Army,Member
Samuel L. Issett,US Army,Member
Thomas Barker,US Army,Member
C. Pierce,US Army,Member
E. Davis,US Army,Member
Alfred Mitchell,US Army,Member
Ed. J. Lambert,US Army,Member
W. Malcolm,US Army,Member
J. Mackenzie,US Army,Member
Jasper Strong,US Army,Member
John Tucker,US Army,Member
Thomas J. Ayres,US Army,Member
Martin Burke,US Army,Member
Samuel Mc Ree,US Army,Member
William Day,US Army,Member
Thomas P. Gwynne,US Army,Member
Jefferson Vail,US Army,Member
Hugh Brady,US Army,Member
W. Lawrence,US Army,Member
Enos Cutler,US Army,Member
Alex R. Thompson,US Army,Member
Newman S. Clark,US Army,Member
E. Boardman,US Army,Member
James H. Ballard,US Army,Member
Thomas J. Beall,US Army,Member
W. Hoffman,US Army,Member
J. H. Wilkins,US Army,Member
Greenleaf Dearborn,US Army,Member
Thomas Staniford,US Army,Member
Daniel Curtis,US Army,Member
Benj. A. Boynton,US Army,Member
Owen Ranson,US Army,Member
James Young,US Army,Member
Walter Bicker Jr.,US Army,Member
R. M. Harrison,US Army,Member
C. F. Morton,US Army,Member
Seth Johnson,US Army,Member
Joshua B. Brant,US Army,Member
John Clitz,US Army,Member
E. K. Barnum,US Army,Member
Henry Smith,US Army,Member
Edwin V. Sumner,US Army,Member
Edmond B. Griswold,US Army,Member
Samuel L. Russel,US Army,Member
David Brooks,US Army,Member
Carlos A. Waite,US Army,Member
George F. Lindsay,US Army,Member
J. B. Pendleton,US Army,Member
J. S. Gallagher,US Army,Member
Alexander Morton,US Army,Member
Jason Rodgers,US Army,Member
Ninian Pininey,US Army,Member
John McNeal Jr.,US Army,Member
David Baker,US Army,Member
Charles Larrabee,US Army,Member
W. Whistler,US Army,Member
Benj. Watson,US Army,Member
Hezekiah Bradley,US Army,Member
John Green,US Army,Member
W. C. Beard,US Army,Member
John Garland,US Army,Member
W. Browning ,US Army,Member
Richard B. Watson,US Army,Member
Joseph S. Nelson,US Army,Member
W. G. Belknap,US Army,Member
John B. Clark,US Army,Member
Edward E. Brooks,US Army,Member
Andrew Lewis,US Army,Member
Thomas J. Harrison,US Army,Member
R. C. Pomroy,US Army,Member
James Dean,US Army,Member
Abraham Musser,US Army,Member
Horace Webster,US Army,Member
